"","V1"
"Accuracy",0.731852234564712
"Kappa",0.487736705638354
"AccuracyLower",0.717596305288732
"AccuracyUpper",0.745757349996022
"AccuracyNull",0.603719969000258
"AccuracyPValue",6.07700498050726e-63
"McnemarPValue",1.98478904191051e-64
