"","V1"
"Accuracy",0.847365702479339
"Kappa",0.603879239835171
"AccuracyLower",0.835647272115088
"AccuracyUpper",0.858557212947349
"AccuracyNull",0.713326446280992
"AccuracyPValue",8.40779570384528e-86
"McnemarPValue",5.47792704678248e-76
