"","0","1","2","3","4","5"
"0",376,0,17,3,7,4
"1",0,0,0,0,0,0
"2",0,0,0,0,0,0
"3",4,0,0,194,7,4
"4",1,0,0,2,134,6
"5",207,117,119,157,283,2248
