"","V1"
"Accuracy",0.687146529562982
"Kappa",0.354818882708912
"AccuracyLower",0.672311114118963
"AccuracyUpper",0.701700316288518
"AccuracyNull",0.581491002570694
"AccuracyPValue",3.53224164382906e-42
"McnemarPValue",NA
