"","V1"
"Accuracy",0.469472806834757
"Kappa",0.468443224908534
"AccuracyLower",0.455270915342323
"AccuracyUpper",0.483711868624981
"AccuracyNull",0.00708480933527818
"AccuracyPValue",0
"McnemarPValue",NA
