"","V1"
"Accuracy",0.712082262210797
"Kappa",0.420050173220876
"AccuracyLower",0.697569167256072
"AccuracyUpper",0.726276116050345
"AccuracyNull",0.581491002570694
"AccuracyPValue",5.1466121171024e-64
"McnemarPValue",NA
