"","iphone","samsunggalaxy","sonyxperia","nokialumina","htcphone","ios","googleandroid","iphonecampos","samsungcampos","sonycampos","nokiacampos","htccampos","iphonecamneg","samsungcamneg","sonycamneg","nokiacamneg","htccamneg","iphonecamunc","samsungcamunc","sonycamunc","nokiacamunc","htccamunc","iphonedispos","samsungdispos","sonydispos","nokiadispos","htcdispos","iphonedisneg","samsungdisneg","sonydisneg","nokiadisneg","htcdisneg","iphonedisunc","samsungdisunc","sonydisunc","nokiadisunc","htcdisunc","iphoneperpos","samsungperpos","sonyperpos","nokiaperpos","htcperpos","iphoneperneg","samsungperneg","sonyperneg","nokiaperneg","htcperneg","iphoneperunc","samsungperunc","sonyperunc","nokiaperunc","htcperunc","iosperpos","googleperpos","iosperneg","googleperneg","iosperunc","googleperunc","iphonesentiment"
"nokiacampos",-0.00843946920806964,-0.000400421747470064,-0.00423173497237717,0.700415005470267,0.000464609425398073,0.00542507546269077,0.00328449534657361,0.0308169398882385,0.0148603600271513,-0.00183555892774129,1,0.0177614869894297,0.0533714992262529,0.0160468719277733,-0.000818948892512409,0.914272077017829,0.0305012877444006,0.0186364023310139,0.0580378785027159,-0.00127576446397313,0.940220877086896,0.0285796837323875,0.0292070223784638,0.0584103282052161,-0.00101839880021122,0.870858569133006,0.00884852473206807,0.0221700029617316,0.0336832170262497,-0.000429165522948313,0.905732637793196,0.0358414564782858,0.00501236714039343,0.0649210676298342,-0.000921835287050805,0.795670998345287,0.016341700647675,0.0340558066810988,0.0257099089242244,-0.00127866465288809,0.887449881303399,0.0263959730485633,0.0307357305540771,0.0262075456083606,-0.0006316834396936,0.835608472274079,0.0337746618289271,0.0215513806260686,0.0492523324945667,-0.000802049445460034,0.85829543668799,0.0172606280042965,0.103123291618187,0.0115643181535436,0.103540079850341,0.00394069076546225,0.16518807838541,0.0125178480748865,-0.0333745609027729
"htccampos",0.0227173731429666,0.0652742531360213,0.0165066520394305,0.0212952462591242,0.0231886262397239,-0.0123897509872724,0.14809485174443,0.62391194848557,0.0900990596589843,0.0588521343088421,0.0177614869894297,1,0.206896901175061,0.171078711239116,0.0161964828446473,0.0153958194903173,0.450715452675601,0.163480446315571,0.113420509954845,0.0373285316207156,0.0149261095399535,0.656659442355177,0.129812955643289,0.0835263642528073,0.0220156222825241,0.0146291869207296,0.140446972762154,0.0410860893195402,0.131056692153962,0.00380248003504146,0.016469336005664,0.270474023321017,0.0529069389106024,0.0518416584294976,0.0250589384419501,0.00669014486135938,0.386465077777759,0.242604865908069,0.0678499518303447,0.0133369849883372,0.0128322394528864,0.586175384310306,0.0743967792515254,0.13338753560627,0.00372593318047319,0.0136732890368498,0.290333301601948,0.0595770053515136,0.0581551160433754,0.0180805292705069,0.0104776961926442,0.25367780761858,-0.00612132405237299,0.16314459168216,-0.00576050725947958,0.177229614140008,-0.00607858512737753,0.10003108459756,-0.120434115416741
"iphonecamneg",0.490523587729399,0.126062801039839,-0.006715050222489,0.0632452639900809,0.0141547759614782,0.386966464229657,0.391802161604143,0.541339970186198,0.206019549683385,0.0132540775016133,0.0533714992262529,0.206896901175061,1,0.468562959997522,0.0655977000102603,0.0702425022563132,0.507638048813837,0.643460020071267,0.262665362177693,0.0340240957697687,0.037266522618859,0.238011225111973,0.261983141785521,0.200390891083495,0.0158907532933062,0.0500131698953488,0.0554395799825119,0.346878955547829,0.350114203880117,0.00958794334380655,0.0530330760364776,0.374707296102129,0.299074292688309,0.117147741652017,0.0360182554135645,0.0188800915963384,0.160153769186812,0.257568960052779,0.172260775992721,0.0177907090494684,0.0393376377753638,0.205400544545571,0.308875213295092,0.361394034368192,0.020559519139136,0.0382541064658061,0.348535461697237,0.217579385348585,0.138709351503836,0.032569553878102,0.0265498854202112,0.11471573567367,-0.0122289703812984,0.417185277097019,-0.0136415612926096,0.468074693188544,-0.0107487207978836,0.241002512509673,-0.0839631390702271
"samsungcamneg",0.142552546949678,0.342919169896755,-0.00430848062834771,0.00954607871421699,0.0200214210278806,-0.0152725698176955,0.711402607605801,0.117450549261792,0.608840259730333,0.0328972382573323,0.0160468719277733,0.171078711239116,0.468562959997522,1,0.072369704244882,0.0154652632191849,0.661017063351426,0.0616194915780935,0.703837836467076,0.0507620794309865,0.0311313130416197,0.200439200515322,0.0793434358655399,0.54546304628036,0.0374249243134667,0.0423910836360898,0.0655959977892215,0.152069589535237,0.755771364735696,0.0148796561709335,0.031269453211172,0.521369824952484,0.0288969758154692,0.331737722232724,0.063338287109261,0.0518993494340086,0.163322433132486,0.130965177572464,0.590556430565812,0.0377776797282265,0.0235101641491083,0.24217330686786,0.259390474187426,0.825420861522421,0.0254632856044802,0.0202724665574556,0.511629133846801,0.0698281207182646,0.389305580947731,0.0608367348765892,0.0365425460280662,0.122047958635109,0.110072740826042,0.658643638682131,0.081293922102385,0.794281952062083,0.0470453604937998,0.342119638111694,-0.185988856949196
"sonycamneg",-0.00183006210980364,0.0318207534909711,0.345295791441219,-0.00122886041425193,0.00490893018617574,-0.0038538548054762,0.0135394517586832,0.0199942953450645,0.0539848376504751,0.408990573621207,-0.000818948892512409,0.0161964828446473,0.0655977000102603,0.072369704244882,1,-0.000864523767217512,0.0380034763841276,0.0250592851701862,0.1286197355035,0.603004795894334,-0.000768703658507881,0.0367016156217998,0.0248279098556154,0.109912659029339,0.337211740799491,-0.000730021408178939,0.0151478629887455,0.0400385214943824,0.119973001198521,0.177380427994394,-0.000781800486210193,0.0827231553266158,0.0271242780542642,0.124699408540146,0.57804013036265,-0.000625675485404688,0.0752912506450149,0.0265814721358134,0.0591163229139349,0.501970001595944,-0.000891383210521601,0.0227282673855548,0.0446710590945358,0.0724224540460718,0.465422131792094,-0.000909431612478336,0.028101916045509,0.0266791114025656,0.0847821713206229,0.604011691813439,-0.000823124619095081,0.0262898504478475,-0.0012764663354932,0.0209042210332777,-0.00116567093552307,0.0251264772859273,-0.00286464482542627,-0.00153195424092326,-0.0248264033420153
"nokiacamneg",-0.00918600387670603,-0.000979480460471691,-0.00446723292947145,0.729434120117188,0.000191083367452692,0.00465135111854623,-0.00182386254230897,0.0268554798393214,0.0143682706229768,-0.00193770860876595,0.914272077017829,0.0153958194903173,0.0702425022563132,0.0154652632191849,-0.000864523767217512,1,0.0294460191545467,0.0159004462621319,0.0565833532217984,-0.00134676133096983,0.843527935047405,0.0265105501483477,0.0276449717566561,0.0569739542215348,-0.00107507315210767,0.811228025238837,0.0078541468581927,0.0223821975916918,0.0327538565702647,-0.000453048777587214,0.869303035707517,0.034631872745718,0.00451776962408351,0.0634077377873937,-0.000973135835949767,0.721124768573178,0.0146507774825258,0.0312615922990268,0.0249977050099871,-0.00134982291670409,0.822880558399752,0.0238671606942603,0.0326173058874277,0.0254366096550946,-0.000666836907609045,0.832205823909431,0.0318802035106474,0.0188185220654587,0.0480734420027746,-0.000846683858325529,0.788927150342522,0.0162339356592219,0.0890019112605621,0.00271878201415953,0.0903106208285887,-0.00044501020673801,0.143676178368404,0.00377214729946818,-0.0330694691454369
"htccamneg",0.10461276520782,0.222776562970828,-0.0122843950465073,0.0372556407664249,0.0367652757134458,-0.0230487872101778,0.562702861177674,0.206584692503409,0.295428413873069,0.0135680903168259,0.0305012877444006,0.450715452675601,0.507638048813837,0.661017063351426,0.0380034763841276,0.0294460191545467,1,0.112118301197785,0.374404848859342,0.024748252630819,0.0273383442924805,0.661111711562268,0.0982947096451491,0.28648466456159,0.0207394997629419,0.0257208533132966,0.135171608113501,0.151600244835547,0.495228319635834,0.00902399689991709,0.0314567550213136,0.728948507800586,0.044419885544508,0.168584878315366,0.0376151683877308,0.0119082843757617,0.474559542199098,0.160387571395227,0.246822074988662,0.0122902322402224,0.0229281922063891,0.55067642946037,0.246452247212543,0.509565523923701,0.00880812225054809,0.0255238343406461,0.756413279288306,0.0997311030908166,0.198497719809289,0.0295743765560206,0.0195176359656859,0.425360578842105,-0.0109343072765732,0.578324761329488,-0.00987788928878453,0.652644006749174,-0.0101911802946419,0.333727388732903,-0.222972178228517
"iphonecamunc",0.750403173832987,-0.0101550994529945,-0.00763835908032352,0.016237082131337,0.00117399793264959,0.732611710627077,0.0429551471687666,0.473266316424556,0.0288754321120457,0.0164423916926169,0.0186364023310139,0.163480446315571,0.643460020071267,0.0616194915780935,0.0250592851701862,0.0159004462621319,0.112118301197785,1,0.0561460053507967,0.0473068441038895,0.0135935769459883,0.171847065538702,0.209007616329828,0.0383239297961766,0.0122090660591835,0.0156247976273929,0.0233284956879218,0.253253711341066,0.0550659851482507,0.00364137986606761,0.0161479520263168,0.0798953676446055,0.361321734014314,0.0327408150376021,0.030042395143586,0.00572110731324856,0.0859830086597752,0.190248578347429,0.0274292858303993,0.00932565330685706,0.0114721000968661,0.092072135662606,0.113175497737891,0.0550707261182207,0.0048663918379171,0.00997257788365778,0.0705246210487261,0.174433157654546,0.0339151595119215,0.0252557289737043,0.0090490536788756,0.0573974809626428,-0.00492045432086794,0.0769155083559822,-0.00870578400654212,0.0748583656463254,-0.00133645934914991,0.0581386691298945,0.00144348478162605
"samsungcamunc",0.073451359836294,0.316134351382523,0.0587766664984133,0.0409222546741481,0.0156438259711583,-0.0123900967642653,0.391432853147174,0.0769431989420618,0.814799292919505,0.164043119775096,0.0580378785027159,0.113420509954845,0.262665362177693,0.703837836467076,0.1286197355035,0.0565833532217984,0.374404848859342,0.0561460053507967,1,0.2879321570743,0.105522488880302,0.178753183635154,0.0673752918422549,0.727528341663648,0.109705570045154,0.140957195151329,0.0529538786894876,0.0988236064545971,0.634293006386359,0.0309080397695154,0.106074258863906,0.348293477393399,0.0396781255906875,0.550691969062207,0.199053887611851,0.170261704727624,0.188403288442245,0.0942270563603487,0.768667045456406,0.0962822917416368,0.0823707913829618,0.178769400564739,0.164842311555086,0.684419167528631,0.045955245064076,0.0722414229119683,0.326658858064251,0.0749220255844579,0.602568833206553,0.152542428977666,0.12318138835153,0.124516331422642,0.129012015878197,0.417374610665029,0.0973546982487901,0.476689970448994,0.0576123257830392,0.269431512273673,-0.138045912198857
"sonycamunc",-0.00306444358535547,0.104123475867688,0.37663286997958,-0.00191432757528535,0.00984294810562975,-0.00648410847297152,-0.00657774105368546,0.029397326541908,0.0988362177838041,0.52845231382347,-0.00127576446397313,0.0373285316207156,0.0340240957697687,0.0507620794309865,0.603004795894334,-0.00134676133096983,0.024748252630819,0.0473068441038895,0.2879321570743,1,-0.00119749207773137,0.108464498689844,0.0256779527799169,0.126561125153535,0.443492724741769,-0.00113723259046986,0.0187454584813369,0.0241162643192084,0.097638224093685,0.238845601454323,-0.00121789440994789,0.0626007988832381,0.0306197606308759,0.158735445779556,0.717408940039931,-0.000974681762874895,0.107382430684389,0.0187935025358439,0.0580179790647578,0.394546887136745,-0.00138860316457233,0.0291620375176015,0.014816198778516,0.0507382343676792,0.207180325661469,-0.00141671909470964,0.0186629296745441,0.0273592821868539,0.0860877971391998,0.567358008210965,-0.00128226944082107,0.0319632466388867,-0.000890275293923587,-0.00382505645089941,-0.000746049282803951,-0.00420446819618629,-0.00446256427427547,-0.00238648931437832,-0.050326853652435
