"","V1"
"Accuracy",0.710796915167095
"Kappa",0.418332639962359
"AccuracyLower",0.696265953694454
"AccuracyUpper",0.725010575240343
"AccuracyNull",0.581491002570694
"AccuracyPValue",9.11482174293411e-63
"McnemarPValue",NA
