"","V1"
"Accuracy",0.772493573264782
"Kappa",0.559385918881907
"AccuracyLower",0.758989026612392
"AccuracyUpper",0.785587558573078
"AccuracyNull",0.581491002570694
"AccuracyPValue",1.0199245798428e-138
"McnemarPValue",NA
