"","V1"
"Accuracy",0.697494187548437
"Kappa",0.364284288810262
"AccuracyLower",0.682749673213211
"AccuracyUpper",0.711940002638762
"AccuracyNull",0.603719969000258
"AccuracyPValue",4.26312505993359e-34
"McnemarPValue",NA
